Level	Rule Name	Subject	Property	Value
WARN	missing_definition	measure	definition	
INFO	lowercase_definition	pyMBAR	definition	pyMBAR refers to a specific Python software library implementation of the Multistate Bennett Acceptance Ratio (MBAR) method. MBAR itself is a statistical technique for optimally combining data from multiple simulations to calculate free energies and expectation values. Therefore, pyMBAR is a tool used for the analysis stage of free energy calculations, particularly for processing data generated by methods like umbrella sampling or replica exchange simulations. (UNVERIFIED)@en
INFO	lowercase_definition	intrinsic reaction coordinate maximum_	definition	...
INFO	missing_superclass	process	rdfs:subClassOf	
INFO	missing_superclass	software	rdfs:subClassOf	
INFO	missing_superclass	model	rdfs:subClassOf	
INFO	missing_superclass	material	rdfs:subClassOf	
INFO	missing_superclass	algorithm	rdfs:subClassOf	
INFO	missing_superclass	state	rdfs:subClassOf	
INFO	missing_superclass	method	rdfs:subClassOf	
INFO	missing_superclass	data format	rdfs:subClassOf	
INFO	missing_superclass	identifier	rdfs:subClassOf	
INFO	missing_superclass	data source	rdfs:subClassOf	
INFO	missing_superclass	measure	rdfs:subClassOf	
